Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Dataverse Page	Save Linked Search	"Saves the current search/filter as a ""linked"" saved search attached to one of the user's own dataverses."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No saved/linked search workflow found in SPA.
Dataverse Page	Manage Permissions Shortcut	Jumps from the edit menu to the dataverse's permissions page to change who can access or edit it.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection permissions/groups menu items open the not-implemented modal.
Dataverse Page	Manage Groups Shortcut	Jumps from the edit menu to the page for managing custom user groups defined within this dataverse.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection permissions/groups menu items open the not-implemented modal.
Site Header	Dismiss Banner Message	Lets a user close a site-wide announcement banner so it stops appearing for their session.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No site-wide dismissible banner implementation found.
Site Header	Go to Dashboard	"For superusers, navigates to the administrative dashboard."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No dashboard route found in SPA.
Theme & Widgets	View Theme Tab	"Shows the branding/theme configuration form for a dataverse, including logo, colors, tagline, and website link."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Toggle Inherit Theme from Parent	Lets an editor reuse the parent dataverse's branding/theme instead of customizing their own.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Upload/Change Logo	Uploads a new image to use as the dataverse's main logo.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Remove Logo	Removes the dataverse's currently configured main logo image.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Set Logo Format & Alignment	"Chooses whether the logo displays as a square or rectangle and, for rectangles, sets its alignment and background color."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Upload/Remove Logo Thumbnail	Uploads or removes a smaller thumbnail version of the dataverse logo.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Set Header Colors	"Sets the background, link, and text colors used in the dataverse's header banner."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Edit Tagline	Sets or edits a short tagline shown in the dataverse header.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Edit Website Link	Sets an external website URL that the header tagline text links to.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Upload/Remove Footer Logo	Uploads or removes a logo image displayed in the dataverse's footer.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Save Theme Changes	"Saves all branding/theme changes, including logos, colors, tagline, and website link, for the dataverse."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	Cancel Theme Edit	Discards unsaved theme changes and returns to the dataverse page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Theme & Widgets	View Widget Embed Code	Shows copyable HTML/JS snippets for embedding a search box or full dataverse listing widget on an external site.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection Theme + Widgets menu exists but opens the Modern not-implemented modal.
Dataset Thumbnails & Widgets	Upload Dataset Thumbnail	Uploads a custom image to use as the dataset's thumbnail/preview image.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal."
Dataset Thumbnails & Widgets	Remove Dataset Thumbnail	"Removes the current custom dataset thumbnail, with a confirmation step if it was derived from a data file."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal."
Dataset Thumbnails & Widgets	Select File as Thumbnail	Opens a dialog to pick one of the dataset's uploaded image files to use as its thumbnail.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal."
Dataset Thumbnails & Widgets	Save Thumbnail Changes	Saves the selected or uploaded dataset thumbnail.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal."
Dataset Thumbnails & Widgets	Cancel Thumbnail Edit	Discards thumbnail changes and returns to the dataset page.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal."
Dataset Thumbnails & Widgets	View Widget Embed Code	Shows copyable HTML/JS snippets for embedding a citation widget or full dataset display widget on an external site.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Dataset thumbnail display exists, but the edit/manage thumbnails and widgets workflow opens the not-implemented modal."
Move Dataverse (Dashboard)	Select Dataverse to Move	Lets a superuser search for and choose which existing dataverse should be relocated.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Select Destination Dataverse	Lets a superuser search for and choose the new parent dataverse to move the selected dataverse into.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Submit Move Request	Validates the selections and opens a confirmation dialog summarizing the planned move.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Confirm Move Dataverse	Confirms and executes moving the selected dataverse under its new parent dataverse.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataverse (Dashboard)	Cancel Move	Cancels the move operation and returns to the administrative dashboard.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Dataset Page	Globus Transfer Dataset	Starts a Globus transfer of the dataset's entire file set to the user's Globus endpoint.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Compute Dataset (Single)	Triggers a compute action against all files in the dataset via a configured compute tool.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Add Dataset to Compute Cart	Adds the current dataset to the user's compute batch cart for later batch computing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Remove Dataset from Compute Cart	Removes the current dataset from the user's compute batch cart.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	View Compute Cart List	Opens a popup listing every dataset currently queued in the compute batch cart.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Clear Compute Cart	Empties the compute batch cart of all queued datasets.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Run Compute Batch	Opens the external compute service URL for all datasets currently in the cart.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Submit Dataset for Review	Opens a dialog to submit the current draft to curators/admins for review before publishing.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Submit-for-review button opens the not-implemented modal.
Dataset Page	Manage Dataset Permissions	Navigates to the permissions-management page scoped to the whole dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Manage File Permissions	Navigates to the permissions-management page scoped to the dataset's files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Create Private URL	Generates a private preview URL that lets non-authorized users view the unpublished dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Create Anonymized Private URL	Generates a private preview URL that also masks configured metadata fields for anonymized review.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Disable Private URL	Revokes an existing private/anonymized preview URL after a warning confirmation.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Copy Private URL to Clipboard	Copies the generated private URL text to the clipboard via a copy button.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Manage Thumbnails and Widgets	Navigates to the page for setting the dataset thumbnail image and generating embeddable widgets.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset edit menu item opens the not-implemented modal or no management workflow was found.
Dataset Page	Change Curation Status	Assigns a new curation status label to the current draft dataset version.	No	src/sections/dataset/dataset-action-buttons/publish-dataset-menu/ChangeCurationStatusMenu.tsx; src/sections/not-implemented/NotImplementedModal.tsx	Change curation status menu opens the Modern not-implemented modal.
Dataset Page	Remove Curation Status	Clears the curation status currently assigned to the draft dataset version.	No	src/sections/dataset/dataset-action-buttons/publish-dataset-menu/ChangeCurationStatusMenu.tsx; src/sections/not-implemented/NotImplementedModal.tsx	Remove curation status action opens the Modern not-implemented modal.
Dataset Page	View Curation Status History	Opens a read-only dialog listing past curation status changes with date and assigner.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No curation status history dialog/view found in SPA.
Dataset Page	View Dataset Citations Count	Opens a dialog listing external publications that cite the dataset (Make Data Count).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Make Data Count citations-count dialog found.
Dataset Page	Rsync Data Access Popup	Displays rsync download connection instructions for a file package.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No rsync/package popup implementation found.
Dataset Page	Package Download Popup	Displays download options and instructions for a bundled file package.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No rsync/package popup implementation found.
Dataset Page	Compute Restricted-File Warning	Informs the user that compute is unavailable because the dataset contains restricted files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Dataset Globus/compute cart workflows were not found; source contains a TODO for compute.
Dataset Page	Submit for Review Dialog Options	Presents an optional custom disclaimer checkbox that must be acknowledged before submitting for review.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Submit-for-review button opens the not-implemented modal.
Dataset Versions	View Archival Copy Status	"Shows whether a version has been archived (success, obsolete, pending, failure, not archived) with an optional link to the archived copy."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Archival copy status/submission workflow not found.
Dataset Versions	Submit Version for Archiving	Superuser action to submit a specific dataset version to the configured archiving system (e.g. DuraCloud/Chronopolis).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Archival copy status/submission workflow not found.
Move Dataset	Search/Select Dataset to Move	Type-ahead autocomplete search to find and select the dataset that should be moved.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Search/Select Destination Collection	Type-ahead autocomplete search to find and select the target dataverse (collection) to move the dataset into.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Move Dataset (Save)	Validates the selection and opens a confirmation dialog before moving the dataset to the chosen collection.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Confirm Move	"Confirms the move action in the dialog, executing the relocation of the dataset to the new collection."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Cancel Move Confirmation	Dismisses the move confirmation dialog without performing the move.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Move Dataset	Cancel Move Dataset Page	Cancels out of the move-dataset form entirely and returns to the dashboard.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
Contact Form	Solve Math CAPTCHA	Answers a simple addition sum as a spam-prevention check before the message can be sent.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"Contact modal has form submission, but no math CAPTCHA implementation was found."
File Page	Compute Access Denied Notice	Inform a user without download permission that they cannot use the Compute feature on this file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Compute workflow not found.
File Data Access Tab	View Rsync Access Instructions	Display the local storage path plus rsync download and verify commands for accessing a package file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No rsync data access tab/instructions implementation found in SPA file page.
File Access & Download	Globus Transfer	Initiate a Globus file transfer download of the file to a remote endpoint.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Download Package (Multi-file Bundle)	Open a popup with instructions and a direct link for downloading a multi-file package/bundle.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Download Auxiliary File	"Download an auxiliary file (e.g., a differential-privacy companion file) associated with the data file."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Compute on File	Open a cloud computing environment pre-configured to access the file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Edit Options	Uningest File	"Revert a previously ingested tabular file back to its original, unprocessed format."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"File un/ingest, retention, and similar JSF options were not found."
File Edit Options	Ingest File	Trigger tabular data ingest/processing for a file that has not yet been ingested (superuser action).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"File un/ingest, retention, and similar JSF options were not found."
File Edit Options	Set/Remove Retention Period	"Set, edit, or remove a data-retention end date and reason for one or more files."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	"File un/ingest, retention, and similar JSF options were not found."
