Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Dataverse Page	Create Dataverse	Lets a user create a new sub-collection (dataverse) by entering name, identifier, category, contact email, and other required details.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Edit Dataverse General Info	Lets an authorized user update an existing dataverse's name, affiliation, identifier, category, description, and contact emails.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Select Host (Parent) Dataverse	When creating a new dataverse, lets the user search for and choose the parent collection it will belong to.	Partial	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Create route is scoped to a parent collection; a searchable parent selector was not found.
Dataverse Page	Configure Metadata Blocks	Lets an editor choose which metadata blocks (schemas) are available for datasets in this dataverse, or inherit the parent's selection.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Set Required/Optional Metadata Fields	Lets an editor mark individual metadata fields within a block as required, optional, or hidden for datasets in this dataverse.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Configure Search Facets	Lets an editor choose which metadata fields appear as browsing/search facets for the dataverse, or inherit them from the parent.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Save Dataverse Changes	Saves the create/edit form, persisting general info, metadata block, and facet configuration changes.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Cancel Dataverse Edit	Discards unsaved changes and returns to the normal view of the dataverse.	Yes	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Implemented in the React SPA.
Dataverse Page	Reset Metadata to Inherited	Confirms reverting a dataverse's customized metadata block settings back to inheriting from its parent, discarding custom settings.	Partial	src/sections/shared/form/EditCreateCollectionForm; src/collection/domain/useCases/createCollection.ts; src/collection/domain/useCases/editCollection.ts	Use-from-parent metadata/facet controls exist, but a dedicated reset confirmation workflow was not found.
Dataverse Page	Contact Dataverse	Opens a dialog letting a visitor send a message or question to the dataverse's contact.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Dataverse Page	Share Dataverse	Opens a dialog with social-media sharing links for the dataverse's page.	Yes	src/sections/shared/social-share-modal/SocialShareModal.tsx	Implemented in the React SPA.
Dataverse Page	Publish Dataverse	Publishes an unpublished dataverse, making it and its contents publicly visible, after a confirmation dialog.	Yes	src/sections/collection/publish-collection/PublishCollectionButton.tsx; src/collection/domain/useCases/publishCollection.ts	Implemented in the React SPA.
Dataverse Page	Blocked Publish Notice	Shows a dialog explaining the dataverse cannot be published yet because its parent dataverse has not been published.	Partial	src/sections/collection/publish-collection/PublishCollectionButton.tsx; src/collection/domain/useCases/publishCollection.ts	Publish modal/error handling exists; no dedicated blocked-parent dialog component was found.
Dataverse Page	Link Dataverse	Lets a user with another dataverse link this dataverse into it so it also appears there.	Yes	src/sections/collection/link-collection-dropdown/LinkCollectionDropdown.tsx; src/collection/domain/useCases/linkCollection.ts	Implemented in the React SPA.
Dataverse Page	Save Linked Search	"Saves the current search/filter as a ""linked"" saved search attached to one of the user's own dataverses."	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No saved/linked search workflow found in SPA.
Dataverse Page	Manage Permissions Shortcut	Jumps from the edit menu to the dataverse's permissions page to change who can access or edit it.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection permissions/groups menu items open the not-implemented modal.
Dataverse Page	Manage Groups Shortcut	Jumps from the edit menu to the page for managing custom user groups defined within this dataverse.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Collection permissions/groups menu items open the not-implemented modal.
Dataverse Page	Manage Dataset Templates Shortcut	Jumps from the edit menu to the page for creating and editing dataset metadata templates for this dataverse.	Yes	src/sections/collection/edit-collection-dropdown/EditCollectionDropdown.tsx; src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Dataverse Page	Manage Dataset Guestbooks Shortcut	Jumps from the edit menu to the page for creating and editing guestbooks used to collect info from people downloading files.	Yes	src/sections/collection/edit-collection-dropdown/EditCollectionDropdown.tsx; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Dataverse Page	Set Featured Dataverses	"Opens a dialog to pick which child dataverses are highlighted as ""featured"" in the homepage carousel."	Yes	src/sections/edit-collection-featured-items/EditFeaturedItems.tsx; src/sections/collection/featured-items/FeaturedItems.tsx	Implemented in the React SPA.
Dataverse Page	Delete Dataverse	Deletes an empty dataverse the user has permission to remove, after a confirmation warning.	Yes	src/sections/collection/edit-collection-dropdown/delete-collection-button/DeleteCollectionButton.tsx; src/collection/domain/useCases/deleteCollection.ts	Implemented in the React SPA.
Dataverse Page	Browse/Search Dataverse Contents	Lets a visitor search and filter the dataverses and datasets contained within this collection, using facets and sort options.	Yes	src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Dataverse Page	View Root Dataverse Download Metrics	Shows a summary of total file downloads for the site's root dataverse, linking to a full metrics dashboard.	Partial	src/sections/homepage/Homepage.tsx; src/sections/homepage/search-input/SearchInput.tsx; src/sections/homepage/metrics/Metrics.tsx	Installation metrics are shown on homepage; root dataverse full metrics dashboard link was not found.
Dataverse Page	View Featured Dataverses Carousel	Displays a scrollable carousel of featured child dataverses on the collection's landing view.	Yes	src/sections/edit-collection-featured-items/EditFeaturedItems.tsx; src/sections/collection/featured-items/FeaturedItems.tsx	Implemented in the React SPA.
Dataverse Homepage	View Custom Root Homepage	Displays a site-configured custom HTML homepage for the root dataverse in place of the standard search/browse view.	Partial	src/sections/homepage/Homepage.tsx; src/sections/homepage/search-input/SearchInput.tsx; src/sections/homepage/metrics/Metrics.tsx	Standard React homepage/search/metrics are implemented; custom root homepage HTML replacement was not found.
Site Header	Add New Dataverse (quick link)	"From the global ""Add Data"" menu, navigates to the form for creating a new dataverse under the root collection."	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx	Implemented in the React SPA.
Site Header	Add New Dataset (quick link)	"From the global ""Add Data"" menu, navigates to the form for creating a new dataset under the root collection."	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx	Implemented in the React SPA.
Site Header	Global Site Search	Lets a user type a keyword into the header search box and submit it to search the whole site.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/sections/collection/Collection.tsx; src/sections/collection/collection-items-panel/CollectionItemsPanel.tsx	Implemented in the React SPA.
Site Header	Contact Support	Opens a dialog letting a visitor send a general support or feedback message to the site administrators.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Site Header	Switch Display Language	Lets a user change the UI display language/locale used across the site.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx	Implemented in the React SPA.
Site Header	Sign Up	Navigates to the account registration page.	Partial	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/sections/sign-up/valid-token-not-linked-account-form; src/users/domain/useCases/registerUser.ts	Sign-up entry points exist, but this frontend mainly supports OIDC first-login registration.
Site Header	Log In	Navigates to the login page.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/keycloak-theme/login; src/sections/auth-callback/AuthCallback.tsx; tests/e2e-integration/e2e/sections/auth/Login.spec.tsx	Implemented in the React SPA.
Site Header	Dismiss Banner Message	Lets a user close a site-wide announcement banner so it stops appearing for their session.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No site-wide dismissible banner implementation found.
Site Header	View My Data	"Navigates to the ""Data Related to Me"" tab of the user's account page."	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/sections/account/Account.tsx; src/sections/account/account-info-section/AccountInfoSection.tsx	Implemented in the React SPA.
Site Header	View Notifications	Navigates to the notifications tab of the user's account page, which shows the unread notification count.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/sections/account/Account.tsx; src/sections/account/account-info-section/AccountInfoSection.tsx	Implemented in the React SPA.
Site Header	View/Edit Account Information	Navigates to the account information tab where a user can view and edit their profile.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/sections/account/Account.tsx; src/sections/account/account-info-section/AccountInfoSection.tsx	Implemented in the React SPA.
Site Header	View API Token	Navigates to the API token tab where a user can view or regenerate their API token.	Yes	src/sections/layout/header; src/sections/shared/add-data-actions/AddDataActionsButton.tsx; src/sections/account/Account.tsx; src/sections/account/account-info-section/AccountInfoSection.tsx	Implemented in the React SPA.
Site Header	Go to Dashboard	For superusers, navigates to the administrative dashboard.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No dashboard route found in SPA.
